IDUR,NO,BIDANG,KODE,KATEGORI,KETERANGAN,TOTAL,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
9,4,REMASKIDZ,OT-09-04,Pelatihan & Pembinaan,Pelatihan Adzan,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
10,1,KEMUSLIMATAN,OT-10-01,Kajian & Pengajian,Kajian Kemuslimahan,5.400.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000,450.000
10,2,KEMUSLIMATAN,OT-10-02,Kegiatan & Rihlah,Tadabbur Alam,9.150.000,,,,,,4.575.000,,,,,4.575.000,
10,3,KEMUSLIMATAN,OT-10-03,Olahraga,Sport Muslimah,4.800.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000
10,4,KEMUSLIMATAN,OT-10-04,Program Ramadhan,Pelayanan Ta'jil di Bulan Ramadhan,0,,,,,,,,,,,,
11,1,DAYCARE,OT-11-01,Pemeliharaan & Prasarana,Perbaikan/Perawatan Sarana & Prasarana,9.720.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000,810.000
11,2,DAYCARE,OT-11-02,Gaji & Kesejahteraan,Kesejahteraan Ustadzah  Daycare,140.610.000,13.930.000,11.480.000,11.480.000,11.580.000,11.580.000,11.580.000,11.580.000,11.480.000,11.480.000,11.480.000,11.480.000,11.480.000
11,3,DAYCARE,OT-11-03,Operasional,Operasional,44.496.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000,3.708.000
11,4,DAYCARE,OT-11-04,Pelatihan & Pengembangan,Pengembangan Keprofesian Pengasuh,200.000,,,,,,,,,200.000,,,
11,5,DAYCARE,OT-11-05,Kegiatan & Program,Kegiatan Daycare,7.092.000,,1.182.000,1.182.000,1.182.000,,1.182.000,,1.182.000,,1.182.000,,
11,6,DAYCARE,OT-11-06,Utilities,"Langganan Listrik, Wifi, Telp",10.200.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000,850.000
11,7,DAYCARE,OT-11-07,Alat & ATK,Biaya Penyediaan Alat Penunjang & ATK,20.150.000,2.000.000,3.000.000,3.000.000,1.000.000,1.500.000,2.000.000,3.000.000,1.000.000,1.000.000,1.000.000,650.000,1.000.000
11,8,DAYCARE,OT-11-08,P3K & Kesehatan,P3K,250.000,,50.000,50.000,50.000,,50.000,,50.000,,,,
11,9,DAYCARE,OT-11-09,Sewa Gedung,Sewa Gedung,48.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000
12,1,KBTK,OT-12-01,Alat Tulis & Perlengkapan,Alat-alat Tulis,4.015.000,,,,,,4.015.000,,,,,,
12,2,KBTK,OT-12-02,Pemeliharaan & Prasarana,Perbaikan/Perawatan Sarana dan Prasarana,6.670.000,,2.230.000,2.230.000,,,2.210.000,,,,,,
12,3,KBTK,OT-12-03,Gaji & Kesejahteraan,"Gaji Guru, Admin, Petugas",165.600.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000,13.800.000
12,4,KBTK,OT-12-04,Gaji & Kesejahteraan,Kesejahteraan Pendidik dan Tenaga Pendidik,42.790.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,4.279.000,,
12,5,KBTK,OT-12-05,Seragam Siswa,Pembelian Seragam Siswa,14.400.000,,,14.400.000,,,,,,,,,
12,6,KBTK,OT-12-06,Perlengkapan Sekolah,Perlengkapan Sekolah,29.690.000,,,,,,29.690.000,,,,,,
12,7,KBTK,OT-12-07,Media Pembelajaran,Media Pembelajaran,8.000.000,1.000.000,,1.000.000,1.000.000,1.000.000,,1.000.000,1.000.000,1.000.000,,1.000.000,
12,8,KBTK,OT-12-08,Kegiatan & Program,Penunjang Kegiatan,139.364.000,13.936.400,13.936.400,13.936.400,13.936.400,13.936.400,,13.936.400,13.936.400,13.936.400,13.936.400,13.936.400,
12,9,KBTK,OT-12-09,Rapat & Administrasi,Rapat Dinas,5.254.000,437.800,437.800,437.800,437.800,437.800,437.800,438.200,437.800,437.800,437.800,437.800,437.800
12,10,KBTK,OT-12-10,Rapat & Administrasi,Ketempatan Rapat,5.000.000,5.000.000,,,,,,,,,,,
12,11,KBTK,OT-12-11,Pelatihan & Pengembangan,Pembinaan Ustadzah/Peningkatan SDM,6.400.000,,6.400.000,,,,,,,,,,
12,12,KBTK,OT-12-12,Gaji & Kesejahteraan,Tunjangan Sosial Ustadzah,1.400.000,140.000,140.000,140.000,140.000,140.000,140.000,,140.000,140.000,140.000,140.000,
12,13,KBTK,OT-12-13,Perlengkapan Sekolah,Pengadaan Barang,750.000,,150.000,,,150.000,,150.000,,150.000,,150.000,150.000
12,14,KBTK,OT-12-14,Utilities,"Langganan Listrik, Wifi, Telp",22.842.000,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500,1.903.500
12,15,KBTK,OT-12-15,Publikasi & Promosi,Publikasi,6.000.000,6.000.000,,,,,,,,,,,
12,16,KBTK,OT-12-16,Kegiatan & Program,Kegiatan Walimurid,8.910.000,,,4.455.000,,,,4.455.000,,,,,
12,17,KBTK,OT-12-17,Konsumsi Tamu,"Snack Makan, Minum Tamu Dinas",600.000,,100.000,,100.000,,100.000,,100.000,,100.000,100.000,122.000
12,18,KBTK,OT-12-18,P3K & Kesehatan,P3K,2.000.000,2.000.000,,,,,,,,,,,
12,19,KBTK,OT-12-19,Akreditasi & Administrasi,Akreditasi,5.000.000,,5.000.000,,,,,,,,,,
12,20,KBTK,OT-12-20,Kontribusi ke Yayasan,Kontribusi,100.000.000,,,,,,50.000.000,,50.000.000,,,,
12,21,KBTK,OT-12-21,BOP,BOP,29.000.000,29.000.000,,,,,,,,,,,
12,22,KBTK,OT-12-22,Diskon & Promosi,Program Diskon/Promosi,90.000.000,90.000.000,,,,,,,,,,,
13,1,TPQ,OT-13-01,Gaji & Kompensasi,Gaji guru / staff TPQ,40.200.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000,3.350.000
13,2,TPQ,OT-13-02,THR & Pesangon,THR / Pesangon TPQ,2.600.000,,,,2.600.000,,,,,,,,
13,3,TPQ,OT-13-03,Ekstrakurikuler,Ekstra Banjari TPQ,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
13,4,TPQ,OT-13-04,Ekstrakurikuler,Ekstra Kaligrafi TPQ,3.000.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000
13,5,TPQ,OT-13-05,Ekstrakurikuler,Ekstra Angklung TPQ,3.600.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000
13,6,TPQ,OT-13-06,Kegiatan & Program,Wisuda TPQ,2.000.000,2.000.000,,,,,,,,,,,
13,7,TPQ,OT-13-07,Tunjangan Komunikasi,Tunjangan pulsa ustadzah TPQ,600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
13,8,TPQ,OT-13-08,Kegiatan & Program,PHBI & Rihlah TPQ,6.000.000,,1.000.000,1.000.000,,2.000.000,,,1.000.000,,,1.000.000,
13,9,TPQ,OT-13-09,Rapat & Koordinasi,Pertemuan guru/rapat TPQ,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
13,10,TPQ,OT-13-10,Operasional Kantor,Keperluan Kantor TPQ,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
13,11,TPQ,OT-13-11,Seragam,Seragam guru TPQ,750.000,750.000,,,,,,,,,,,
13,12,TPQ,OT-13-12,Kebersihan,Kebersihan Kantor TPQ,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
13,13,TPQ,OT-13-13,Publikasi & Kehumasan,Publikasi & Kehumasan TPQ,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
14,1,LAZMU,OT-14-01,Gaji & Kompensasi,Hr Petugas Admin LAZ,7.800.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000,650.000
14,2,LAZMU,OT-14-02,Gaji & Kompensasi,Hr Petugas Pick Up LAZ,8.400.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000
14,3,LAZMU,OT-14-03,Gaji & Kompensasi,Hr Petugas Fundraising,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
14,4,LAZMU,OT-14-04,THR & Tunjangan,THR Pengurus / Staff utk 2 orang,1.000.000,,,,1.000.000,,,,,,,,
14,5,LAZMU,OT-14-05,Publikasi & Dokumentasi,Produksi LPJ Bulanan,600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
14,6,LAZMU,OT-14-06,Rapat & Koordinasi,Konsumsi Rapat,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
14,7,LAZMU,OT-14-07,Transport,Bantuan Transport utk 2 orang,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
14,8,LAZMU,OT-14-08,Pelatihan & Pengembangan,Pelatihan Fundraising utk 5 orang,1.500.000,,,,,,,,,,,,1.500.000
14,9,LAZMU,OT-14-09,Operasional Kantor,Fotocopy/ATK/Pulsa LAZ/Admin Bank,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
14,10,LAZMU,OT-14-10,Studi Banding,"Studi Banding dalam kota, 5 orang @ 100rb",1.000.000,,500.000,500.000,,,,,,,,,
14,11,LAZMU,OT-14-11,Program Beasiswa,Penjaringan dan Seleksi Penerima Beasiswa,200.000,100.000,,,,,,100.000,,,,,
14,12,LAZMU,OT-14-12,Program Beasiswa,Beasiswa Pendidikan 34 orang ➞ 40 orang @ 125 rb,50.400.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000,4.200.000
14,13,LAZMU,OT-14-13,Program Beasiswa,Pembekalan Penerima Beasiswa,4.000.000,2.000.000,,,,,,2.000.000,,,,,
14,14,LAZMU,OT-14-14,Konsultasi & Edukasi,Konsultasi Zakat & Wakaf,4.000.000,,2.000.000,2.000.000,,,,,,,,,
14,15,LAZMU,OT-14-15,Program Infaq,"Infaq Shubuh (Stiker QRIS) 200 x @2,000",400.000,400.000,,,,,,,,,,,
14,16,LAZMU,OT-14-16,Publikasi & Dokumentasi,Produksi dan Cetak Buletin,4.200.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000
14,17,LAZMU,OT-14-17,Publikasi & Dokumentasi,Produksi Konten Edukasi & Kehumasan,24.600.000,2.000.000,2.000.000,2.300.000,2.300.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000
14,18,LAZMU,OT-14-18,Penyaluran,Penyaluran Zakat Fitrah & Fidyah,30.000.000,,,,30.000.000,,,,,,,,
14,19,LAZMU,OT-14-19,Sistem & Database,Pembuatan sheet khusus data lengkap donatur,0,,,,,,,,,,,,
14,20,LAZMU,OT-14-20,Operasional,Pengalokasian hasil penggalangan dana,0,,,,,,,,,,,,
14,21,LAZMU,OT-14-21,Sistem & Database,Pembuatan sistem rekap SI Zakat,0,,,,,,,,,,,,
14,22,LAZMU,OT-14-22,Konsultasi & Edukasi,Layanan Konsultasi Zakat dan Wakaf,0,,,,,,,,,,,,
14,23,LAZMU,OT-14-23,Rapat & Koordinasi,Rapat rutin koordinasi dg Unit Lain,0,,,,,,,,,,,,
14,24,LAZMU,OT-14-24,Program Sosial,Makan gratis Ahad Pagi,0,,,,,,,,,,,,
14,25,LAZMU,OT-14-25,Program Infaq Barang,Infaq pakaian bekas,0,,,,,,,,,,,,
14,26,LAZMU,OT-14-26,Program Infaq Barang,Infaq botol plastik bekas,0,,,,,,,,,,,,
14,27,LAZMU,OT-14-27,Infaq Terikat - Sekretaris,Infaq Terikat LAZ - Sekretaris Bendahara,2.000.000,150.000,150.000,150.000,200.000,150.000,200.000,150.000,200.000,150.000,200.000,150.000,150.000
14,28,LAZMU,OT-14-28,Infaq Terikat - Pengadaan,Infaq Terikat LAZ - Pengadaan,0,,,,,,,,,,,,
14,29,LAZMU,OT-14-29,Infaq Terikat - Teknik,Infaq Terikat LAZ - Teknik Maintenance Pengembangan,0,,,,,,,,,,,,
14,30,LAZMU,OT-14-30,Infaq Terikat - Penjaminan Mutu,Infaq Terikat LAZ - Penjaminan Mutu,1.260.000,100.000,100.000,100.000,100.000,160.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
14,31,LAZMU,OT-14-31,Infaq Terikat - Personalia,Infaq Terikat LAZ - Personalia HRD,500.000,,50.000,50.000,50.000,,50.000,50.000,50.000,50.000,50.000,50.000,50.000
14,32,LAZMU,OT-14-32,Infaq Terikat - Kebersihan,Infaq Terikat LAZ - Kebersihan Keamanan,0,,,,,,,,,,,,
14,33,LAZMU,OT-14-33,Infaq Terikat - Humas,Infaq Terikat LAZ - Humas Publikasi,1.000.000,100.000,100.000,100.000,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,
14,34,LAZMU,OT-14-34,Infaq Terikat - Ibadah,Infaq Terikat LAZ - Ibadah dan Da'wah,0,,,,,,,,,,,,
14,35,LAZMU,OT-14-35,Infaq Terikat - Kajian,Infaq Terikat LAZ - Kegiatan Kajian Masjid,0,,,,,,,,,,,,
14,36,LAZMU,OT-14-36,Infaq Terikat - Masjid,Infaq Terikat LAZ - Operasional Masjid,0,,,,,,,,,,,,
14,37,LAZMU,OT-14-37,Infaq Terikat - Remas,Infaq Terikat LAZ - Remas/MKidz,600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
14,38,LAZMU,OT-14-38,Infaq Terikat - TPQ,Infaq Terikat LAZ - TPQ,30.000.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000,2.500.000
14,39,LAZMU,OT-14-39,Infaq Terikat - Muslimah,Infaq Terikat LAZ - Muslimah,600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
14,40,LAZMU,OT-14-40,Infaq Terikat - Daycare,Infaq Terikat LAZ - DayCare,0,,,,,,,,,,,,
14,41,LAZMU,OT-14-41,Infaq Terikat - KBTK,Infaq Terikat LAZ - KBTK Al Muhajirin,0,,,,,,,,,,,,
14,42,LAZMU,OT-14-42,Infaq Terikat - Poliklinik,Infaq Terikat LAZ - Poliklinik,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
14,43,LAZMU,OT-14-43,Infaq Terikat - Kolam,Infaq Terikat LAZ - Kolam Renang,0,,,,,,,,,,,,
14,44,LAZMU,OT-14-44,Infaq Terikat - Lainnya,Infaq Terikat LAZ - LAZ Muhajirin Rewwin,0,,,,,,,,,,,,
14,45,LAZMU,OT-14-45,Infaq Terikat - Ambulance,Infaq Terikat LAZ - Ambulance,3.000.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000
14,46,LAZMU,OT-14-46,Infaq Terikat - Jenazah,Infaq Terikat LAZ - Perawatan Jenazah,600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
14,47,LAZMU,OT-14-47,Support Ambulance,Support Ambulance,12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
14,48,LAZMU,OT-14-48,Support Jenazah,Support Perawatan Jenazah,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
15,1,AMBULANS,OT-15-01,Gaji & Kompensasi,Biaya Sopir + Kernet,9.600.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000
15,2,AMBULANS,OT-15-02,Gaji & Kompensasi,Hr Petugas Ambulans,8.400.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000
15,3,AMBULANS,OT-15-03,BBM,BBM Kendaraan Ambulans,3.000.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000,250.000
15,4,AMBULANS,OT-15-04,Pemeliharaan,Biaya Pemeliharaan Ambulans,1.500.000,,,,,,500.000,,,500.000,,,500.000
15,5,AMBULANS,OT-15-05,Komunikasi,Pulsa Operasional Petugas Ambulans,0,,,,,,,,,,,,
15,6,AMBULANS,OT-15-06,Pajak Kendaraan,Pajak Mobil Ambulans,3.000.000,,3.000.000,,,,,,,,,,
15,7,AMBULANS,OT-15-07,Program Tanggap Bencana,Pengalokasian Infaq Tanggap Bencana,0,,,,,,,,,,,,
15,8,AMBULANS,OT-15-08,Peralatan,Bed Ambulance,,,,,,,,,,,,,
15,9,AMBULANS,OT-15-09,Peralatan,Tandu Pasien,2.000.000,2.000.000,,,,,,,,,,,
16,1,SAKITJENAZAH,OT-16-01,Santunan Kesehatan,Santunan Kesehatan,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
16,2,SAKITJENAZAH,OT-16-02,Santunan Kematian,Santunan Kematian,7.200.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000
16,3,SAKITJENAZAH,OT-16-03,Perawatan Jenazah,"Perawatan Jenazah (Kain Kafan, Sabun, Shampo, dll)",1.500.000,1.500.000,,,,,,,,,,,
16,4,SAKITJENAZAH,OT-16-04,Perawatan Jenazah,Pelatihan Perawatan jenazah,2.000.000,,,,,,,,,,2.000.000,,
16,5,SAKITJENAZAH,OT-16-05,Kehumasan,Kehumasan Sakit/Kematian,0,,,,,,,,,,,,
16,6,SAKITJENAZAH,OT-16-06,Santunan Kematian,Penyaluran Infaq Santunan Sakit/Kematian,0,,,,,,,,,,,,
16,7,SAKITJENAZAH,OT-16-07,Pengadaan Peralatan,"Pengadaan ""dipan"" Jenazah",0,,,,,,,,,,,,
17,1,POLIKLINIK,OT-17-01,Gaji & Kompensasi,Hr. Dokter dan Asisten Dokter Umum,36.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000
17,2,POLIKLINIK,OT-17-02,Obat & Farmasi,Pembelian Obat,24.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000
17,3,POLIKLINIK,OT-17-03,Renovasi & Infrastruktur,Renovasi Poliklinik + AC,5.000.000,5.000.000,,,,,,,,,,,
17,4,POLIKLINIK,OT-17-04,Perizinan & Administrasi,Pengurusan Izin Poliklinik,0,0,,,,,,,,,,,
17,5,POLIKLINIK,OT-17-05,Alat Medis,Peralatan medis,5.000.000,5.000.000,,,,,,,,,,,
17,6,POLIKLINIK,OT-17-06,Publikasi & Promosi,Pembuatan Brosur,0,,,,,,,,,,,,
17,7,POLIKLINIK,OT-17-07,Pelatihan,Pelatihan Pertolongan Pertama,0,0,,,,,,,,,,,
17,8,POLIKLINIK,OT-17-08,Operasional Kantor,"Pembelian ATK, Fotocopy, dan Rak",600.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
18,9,POLIGIGI,OT-18-09,Gaji & Kompensasi,Hr. Dokter Gigi & Asisten,16.500.000,1.500.000,1.500.000,0,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000
18,10,POLIGIGI,OT-18-10,Operasional,Operasional (pembelian obat),11.000.000,1.000.000,1.000.000,0,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
19,1,WAFMU,OT-19-01,Gaji & Kompensasi,HR Petugas Admin WAFMU,5.000.000,,500.000,,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
19,2,WAFMU,OT-19-02,Operasional Kantor,Operasional Kantor (ATK Fotocopy),0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,WAFMU,OT-19-03,Sosialisasi & Edukasi,Sosialisasi & Edukasi Wakaf,5.000.000,5.000.000,0,0,0,0,0,0,0,0,0,0,0
19,4,WAFMU,OT-19-04,Administrasi Wakaf,Sertifikasi Aset Wakaf (AIW),0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,WAFMU,OT-19-05,Pemeliharaan Aset,Pemeliharaan Aset Wakaf,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,WAFMU,OT-19-06,Wakaf Produktif,Pengembangan Wakaf Produktif,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,WAFMU,OT-19-07,Konsultasi & Hukum,Konsultasi Hukum & Syariah,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,WAFMU,OT-19-08,Penyaluran Manfaat,Penyaluran Manfaat Wakaf,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,WAFMU,OT-19-09,Audit & Pelaporan,Audit & Pelaporan Wakaf,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,WAFMU,OT-19-10,Rihlah & Studi Banding,Rihlah & Studi Banding Lembaga Wakaf,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11,WAFMU,OT-19-11,Gaji & Kompensasi,THR Petugas WAFMU,0,0,0,0,0,0,0,0,0,0,0,0,0
